Date;Abap;Ada;C/C++;C#;Cobol;Dart;Delphi/Pascal;Go;Groovy;Haskell;Java;JavaScript;Julia;Kotlin;Lua;Matlab;Objective-C;Perl;PHP;Python;R;Ruby;Rust;Scala;Swift;TypeScript;VBA;Visual Basic
January 2005;0.38;0.38;9.70;5.225;0.55;0;2.65;0;0.11;0.21;29.68;8.37;0;0;0.24;2.22;0.19;7.00;19.81;2.91;0.38;0.4700;0.15;0.03;0;0;1.51;7.79
February 2005;0.37;0.38;9.87;5.21;0.49;0;2.657;0;0.06;0.21;30.29;8.12;0;0;0.25;2.31;0.18;6.92;19.63;2.87;0.38;0.44;0.15;0.03;0;0;1.450;7.67
March 2005;0.337;0.37;9.87;5.38;0.44;0;2.65;0;0.08;0.228;30.2;8.28;0;0;0.228;2.36;0.15;6.87;19.54;2.81;0.42;0.45;0.13;0.03;0;0;1.44;7.68
April 2005;0.337;0.36;9.85;5.42;0.4100;0;2.56;0;0.08;0.22;30.55;8.39;0;0;0.22;2.21;0.13;6.725;19.93;2.78;0.4;0.43;0.11;0.02;0;0;1.35;7.520
May 2005;0.3500;0.37;9.71;5.62;0.4;0;2.5;0;0.09;0.228;30.25;8.25;0;0;0.228;2.23;0.13;6.75;19.86;2.88;0.4100;0.4700;0.09;0.02;0;0;1.47;7.66
June 2005;0.3500;0.36;9.46;5.770;0.4;0;2.44;0;0.08;0.228;30.4;8.35;0;0;0.24;2.29;0.12;6.56;19.79;2.947;0.4100;0.54;0.1;0.01;0;0;1.55;7.58
July 2005;0.33;0.337;9.3;6.17;0.38;0;2.5;0;0.08;0.24;30.36;8.42;0;0;0.21;2.280;0.13;6.475;19.5;2.98;0.44;0.62;0.11;0.01;0;0;1.59;7.53
August 2005;0.32;0.31;9.16;6.16;0.4;0;2.35;0;0.09;0.25;30.29;8.63;0;0;0.21;2.12;0.11;6.52;19.67;3.130;0.44;0.66;0.12;0.02;0;0;1.60;7.43
September 2005;0.36;0.29;9.07;6.185;0.4;0;2.33;0;0.08;0.22;30.23;8.37;0;0;0.26;2.050;0.13;6.59;19.86;3.280;0.44;0.79;0.18;0.01;0;0;1.6;7.28
October 2005;0.38;0.31;8.70;6.2;0.44;0;2.44;0;0.08;0.24;30.18;8.17;0;0;0.277;2.19;0.13;6.61;19.66;3.47;0.49;0.95;0.16;0.01;0;0;1.69;7.21
